place of birth,age group,gender,year,province of residence,concept,value
total,total,total,2001,total,population,2695880
total,total,total,2001,A Coruña,population,1096027
total,total,total,2001,Lugo,population,357648
total,total,total,2001,Ourense,population,338446
total,total,total,2001,Pontevedra,population,903759
total,total,total,2011,total,population,2772928
total,total,total,2011,A Coruña,population,1141286
total,total,total,2011,Lugo,population,348067
total,total,total,2011,Ourense,population,328697
total,total,total,2011,Pontevedra,population,954877
total,total,male,2001,total,population,1294378
total,total,male,2001,A Coruña,population,525388
total,total,male,2001,Lugo,population,173339
total,total,male,2001,Ourense,population,161968
total,total,male,2001,Pontevedra,population,433683
total,total,male,2011,total,population,1341269
total,total,male,2011,A Coruña,population,549283
total,total,male,2011,Lugo,population,169376
total,total,male,2011,Ourense,population,158758
total,total,male,2011,Pontevedra,population,463853
total,total,female,2001,total,population,1401502
total,total,female,2001,A Coruña,population,570639
total,total,female,2001,Lugo,population,184309
total,total,female,2001,Ourense,population,176478
total,total,female,2001,Pontevedra,population,470076
total,total,female,2011,total,population,1431658
total,total,female,2011,A Coruña,population,592004
total,total,female,2011,Lugo,population,178692
total,total,female,2011,Ourense,population,169939
total,total,female,2011,Pontevedra,population,491024
total,0-4,total,2001,total,population,94722
total,0-4,total,2001,A Coruña,population,38504
total,0-4,total,2001,Lugo,population,9991
total,0-4,total,2001,Ourense,population,9364
total,0-4,total,2001,Pontevedra,population,36863
total,0-4,total,2011,total,population,113118
total,0-4,total,2011,A Coruña,population,47928
total,0-4,total,2011,Lugo,population,11252
total,0-4,total,2011,Ourense,population,10574
total,0-4,total,2011,Pontevedra,population,43364
total,0-4,male,2001,total,population,48723
total,0-4,male,2001,A Coruña,population,19757
total,0-4,male,2001,Lugo,population,5090
total,0-4,male,2001,Ourense,population,4830
total,0-4,male,2001,Pontevedra,population,19046
total,0-4,male,2011,total,population,58669
total,0-4,male,2011,A Coruña,population,24796
total,0-4,male,2011,Lugo,population,5710
total,0-4,male,2011,Ourense,population,5476
total,0-4,male,2011,Pontevedra,population,22687
total,0-4,female,2001,total,population,45999
total,0-4,female,2001,A Coruña,population,18747
total,0-4,female,2001,Lugo,population,4901
total,0-4,female,2001,Ourense,population,4534
total,0-4,female,2001,Pontevedra,population,17817
total,0-4,female,2011,total,population,54449
total,0-4,female,2011,A Coruña,population,23132
total,0-4,female,2011,Lugo,population,5542
total,0-4,female,2011,Ourense,population,5098
total,0-4,female,2011,Pontevedra,population,20677
total,5-9,total,2001,total,population,101884
total,5-9,total,2001,A Coruña,population,40697
total,5-9,total,2001,Lugo,population,11500
total,5-9,total,2001,Ourense,population,11161
total,5-9,total,2001,Pontevedra,population,38526
total,5-9,total,2011,total,population,109678
total,5-9,total,2011,A Coruña,population,45491
total,5-9,total,2011,Lugo,population,10833
total,5-9,total,2011,Ourense,population,10531
total,5-9,total,2011,Pontevedra,population,42822
total,5-9,male,2001,total,population,52343
total,5-9,male,2001,A Coruña,population,20844
total,5-9,male,2001,Lugo,population,5818
total,5-9,male,2001,Ourense,population,5819
total,5-9,male,2001,Pontevedra,population,19862
total,5-9,male,2011,total,population,56623
total,5-9,male,2011,A Coruña,population,23352
total,5-9,male,2011,Lugo,population,5626
total,5-9,male,2011,Ourense,population,5416
total,5-9,male,2011,Pontevedra,population,22230
total,5-9,female,2001,total,population,49541
total,5-9,female,2001,A Coruña,population,19853
total,5-9,female,2001,Lugo,population,5682
total,5-9,female,2001,Ourense,population,5342
total,5-9,female,2001,Pontevedra,population,18664
total,5-9,female,2011,total,population,53055
total,5-9,female,2011,A Coruña,population,22140
total,5-9,female,2011,Lugo,population,5207
total,5-9,female,2011,Ourense,population,5115
total,5-9,female,2011,Pontevedra,population,20593
total,10-14,total,2001,total,population,122960
total,10-14,total,2001,A Coruña,population,48899
total,10-14,total,2001,Lugo,population,14843
total,10-14,total,2001,Ourense,population,13668
total,10-14,total,2001,Pontevedra,population,45550
total,10-14,total,2011,total,population,104734
total,10-14,total,2011,A Coruña,population,42888
total,10-14,total,2011,Lugo,population,11176
total,10-14,total,2011,Ourense,population,10389
total,10-14,total,2011,Pontevedra,population,40281
total,10-14,male,2001,total,population,62994
total,10-14,male,2001,A Coruña,population,25108
total,10-14,male,2001,Lugo,population,7589
total,10-14,male,2001,Ourense,population,6938
total,10-14,male,2001,Pontevedra,population,23359
total,10-14,male,2011,total,population,54063
total,10-14,male,2011,A Coruña,population,22121
total,10-14,male,2011,Lugo,population,5712
total,10-14,male,2011,Ourense,population,5335
total,10-14,male,2011,Pontevedra,population,20896
total,10-14,female,2001,total,population,59966
total,10-14,female,2001,A Coruña,population,23791
total,10-14,female,2001,Lugo,population,7254
total,10-14,female,2001,Ourense,population,6730
total,10-14,female,2001,Pontevedra,population,22191
total,10-14,female,2011,total,population,50671
total,10-14,female,2011,A Coruña,population,20767
total,10-14,female,2011,Lugo,population,5464
total,10-14,female,2011,Ourense,population,5054
total,10-14,female,2011,Pontevedra,population,19385
total,15-19,total,2001,total,population,157255
total,15-19,total,2001,A Coruña,population,63920
total,15-19,total,2001,Lugo,population,19036
total,15-19,total,2001,Ourense,population,17447
total,15-19,total,2001,Pontevedra,population,56852
total,15-19,total,2011,total,population,111475
total,15-19,total,2011,A Coruña,population,44587
total,15-19,total,2011,Lugo,population,12615
total,15-19,total,2011,Ourense,population,12264
total,15-19,total,2011,Pontevedra,population,42010
total,15-19,male,2001,total,population,80408
total,15-19,male,2001,A Coruña,population,32665
total,15-19,male,2001,Lugo,population,9630
total,15-19,male,2001,Ourense,population,9014
total,15-19,male,2001,Pontevedra,population,29099
total,15-19,male,2011,total,population,57320
total,15-19,male,2011,A Coruña,population,22767
total,15-19,male,2011,Lugo,population,6429
total,15-19,male,2011,Ourense,population,6393
total,15-19,male,2011,Pontevedra,population,21730
total,15-19,female,2001,total,population,76847
total,15-19,female,2001,A Coruña,population,31255
total,15-19,female,2001,Lugo,population,9406
total,15-19,female,2001,Ourense,population,8433
total,15-19,female,2001,Pontevedra,population,27753
total,15-19,female,2011,total,population,54156
total,15-19,female,2011,A Coruña,population,21819
total,15-19,female,2011,Lugo,population,6186
total,15-19,female,2011,Ourense,population,5871
