place of birth,age group,gender,year,province of residence,concept,value
total,15-19,female,2011,Pontevedra,population,20280
total,20-24,total,2001,total,population,207668
total,20-24,total,2001,A Coruña,population,85392
total,20-24,total,2001,Lugo,population,23538
total,20-24,total,2001,Ourense,population,22348
total,20-24,total,2001,Pontevedra,population,76390
total,20-24,total,2011,total,population,132761
total,20-24,total,2011,A Coruña,population,53232
total,20-24,total,2011,Lugo,population,16119
total,20-24,total,2011,Ourense,population,14823
total,20-24,total,2011,Pontevedra,population,48587
total,20-24,male,2001,total,population,105460
total,20-24,male,2001,A Coruña,population,43477
total,20-24,male,2001,Lugo,population,12036
total,20-24,male,2001,Ourense,population,11348
total,20-24,male,2001,Pontevedra,population,38599
total,20-24,male,2011,total,population,67613
total,20-24,male,2011,A Coruña,population,27065
total,20-24,male,2011,Lugo,population,8215
total,20-24,male,2011,Ourense,population,7498
total,20-24,male,2011,Pontevedra,population,24834
total,20-24,female,2001,total,population,102208
total,20-24,female,2001,A Coruña,population,41915
total,20-24,female,2001,Lugo,population,11502
total,20-24,female,2001,Ourense,population,11000
total,20-24,female,2001,Pontevedra,population,37791
total,20-24,female,2011,total,population,65149
total,20-24,female,2011,A Coruña,population,26167
total,20-24,female,2011,Lugo,population,7904
total,20-24,female,2011,Ourense,population,7325
total,20-24,female,2011,Pontevedra,population,23752
total,25-29,total,2001,total,population,213916
total,25-29,total,2001,A Coruña,population,89288
total,25-29,total,2001,Lugo,population,23541
total,25-29,total,2001,Ourense,population,22813
total,25-29,total,2001,Pontevedra,population,78274
total,25-29,total,2011,total,population,165935
total,25-29,total,2011,A Coruña,population,68441
total,25-29,total,2011,Lugo,population,20045
total,25-29,total,2011,Ourense,population,18111
total,25-29,total,2011,Pontevedra,population,59339
total,25-29,male,2001,total,population,107324
total,25-29,male,2001,A Coruña,population,44906
total,25-29,male,2001,Lugo,population,11646
total,25-29,male,2001,Ourense,population,11372
total,25-29,male,2001,Pontevedra,population,39400
total,25-29,male,2011,total,population,84038
total,25-29,male,2011,A Coruña,population,34355
total,25-29,male,2011,Lugo,population,10189
total,25-29,male,2011,Ourense,population,9252
total,25-29,male,2011,Pontevedra,population,30242
total,25-29,female,2001,total,population,106592
total,25-29,female,2001,A Coruña,population,44382
total,25-29,female,2001,Lugo,population,11895
total,25-29,female,2001,Ourense,population,11441
total,25-29,female,2001,Pontevedra,population,38874
total,25-29,female,2011,total,population,81897
total,25-29,female,2011,A Coruña,population,34086
total,25-29,female,2011,Lugo,population,9855
total,25-29,female,2011,Ourense,population,8858
total,25-29,female,2011,Pontevedra,population,29097
total,30-34,total,2001,total,population,201933
total,30-34,total,2001,A Coruña,population,83854
total,30-34,total,2001,Lugo,population,23696
total,30-34,total,2001,Ourense,population,22117
total,30-34,total,2001,Pontevedra,population,72266
total,30-34,total,2011,total,population,216539
total,30-34,total,2011,A Coruña,population,90743
total,30-34,total,2011,Lugo,population,24405
total,30-34,total,2011,Ourense,population,21978
total,30-34,total,2011,Pontevedra,population,79412
total,30-34,male,2001,total,population,100260
total,30-34,male,2001,A Coruña,population,41391
total,30-34,male,2001,Lugo,population,11809
total,30-34,male,2001,Ourense,population,11037
total,30-34,male,2001,Pontevedra,population,36023
total,30-34,male,2011,total,population,109506
total,30-34,male,2011,A Coruña,population,45746
total,30-34,male,2011,Lugo,population,12535
total,30-34,male,2011,Ourense,population,11183
total,30-34,male,2011,Pontevedra,population,40042
total,30-34,female,2001,total,population,101673
total,30-34,female,2001,A Coruña,population,42463
total,30-34,female,2001,Lugo,population,11887
total,30-34,female,2001,Ourense,population,11080
total,30-34,female,2001,Pontevedra,population,36243
total,30-34,female,2011,total,population,107033
total,30-34,female,2011,A Coruña,population,44997
total,30-34,female,2011,Lugo,population,11871
total,30-34,female,2011,Ourense,population,10795
total,30-34,female,2011,Pontevedra,population,39370
total,35-39,total,2001,total,population,193792
total,35-39,total,2001,A Coruña,population,81111
total,35-39,total,2001,Lugo,population,24717
total,35-39,total,2001,Ourense,population,21536
total,35-39,total,2001,Pontevedra,population,66428
total,35-39,total,2011,total,population,226550
total,35-39,total,2011,A Coruña,population,95746
total,35-39,total,2011,Lugo,population,24490
total,35-39,total,2011,Ourense,population,22788
total,35-39,total,2011,Pontevedra,population,83526
total,35-39,male,2001,total,population,95461
total,35-39,male,2001,A Coruña,population,39761
total,35-39,male,2001,Lugo,population,12388
total,35-39,male,2001,Ourense,population,10633
total,35-39,male,2001,Pontevedra,population,32679
total,35-39,male,2011,total,population,114140
total,35-39,male,2011,A Coruña,population,48039
total,35-39,male,2011,Lugo,population,12322
total,35-39,male,2011,Ourense,population,11459
total,35-39,male,2011,Pontevedra,population,42319
total,35-39,female,2001,total,population,98331
total,35-39,female,2001,A Coruña,population,41350
total,35-39,female,2001,Lugo,population,12329
total,35-39,female,2001,Ourense,population,10903
total,35-39,female,2001,Pontevedra,population,33749
total,35-39,female,2011,total,population,112409
total,35-39,female,2011,A Coruña,population,47706
total,35-39,female,2011,Lugo,population,12167
total,35-39,female,2011,Ourense,population,11328
total,35-39,female,2011,Pontevedra,population,41207
total,40-44,total,2001,total,population,191581
total,40-44,total,2001,A Coruña,population,79605
total,40-44,total,2001,Lugo,population,24986
total,40-44,total,2001,Ourense,population,22300
total,40-44,total,2001,Pontevedra,population,64690
total,40-44,total,2011,total,population,215378
total,40-44,total,2011,A Coruña,population,90301
total,40-44,total,2011,Lugo,population,24851
total,40-44,total,2011,Ourense,population,22947
total,40-44,total,2011,Pontevedra,population,77279
total,40-44,male,2001,total,population,94722
total,40-44,male,2001,A Coruña,population,39201
total,40-44,male,2001,Lugo,population,12862
total,40-44,male,2001,Ourense,population,11119
total,40-44,male,2001,Pontevedra,population,31540
total,40-44,male,2011,total,population,107505
total,40-44,male,2011,A Coruña,population,44568
total,40-44,male,2011,Lugo,population,12417
total,40-44,male,2011,Ourense,population,11612
total,40-44,male,2011,Pontevedra,population,38908
total,40-44,female,2001,total,population,96859
total,40-44,female,2001,A Coruña,population,40404
total,40-44,female,2001,Lugo,population,12124
total,40-44,female,2001,Ourense,population,11181
total,40-44,female,2001,Pontevedra,population,33150
total,40-44,female,2011,total,population,107873
total,40-44,female,2011,A Coruña,population,45733
total,40-44,female,2011,Lugo,population,12434
total,40-44,female,2011,Ourense,population,11335
total,40-44,female,2011,Pontevedra,population,38371
total,45-49,total,2001,total,population,174440
total,45-49,total,2001,A Coruña,population,72850
total,45-49,total,2001,Lugo,population,22437
total,45-49,total,2001,Ourense,population,20194
total,45-49,total,2001,Pontevedra,population,58959
total,45-49,total,2011,total,population,203232
total,45-49,total,2011,A Coruña,population,85284
total,45-49,total,2011,Lugo,population,25570
total,45-49,total,2011,Ourense,population,22546
total,45-49,total,2011,Pontevedra,population,69832
total,45-49,male,2001,total,population,86781
total,45-49,male,2001,A Coruña,population,36034
total,45-49,male,2001,Lugo,population,11818
total,45-49,male,2001,Ourense,population,10278
total,45-49,male,2001,Pontevedra,population,28651
total,45-49,male,2011,total,population,100436
total,45-49,male,2011,A Coruña,population,41846
total,45-49,male,2011,Lugo,population,12784
total,45-49,male,2011,Ourense,population,11184
total,45-49,male,2011,Pontevedra,population,34621
total,45-49,female,2001,total,population,87659
total,45-49,female,2001,A Coruña,population,36816
total,45-49,female,2001,Lugo,population,10619
total,45-49,female,2001,Ourense,population,9916
total,45-49,female,2001,Pontevedra,population,30308
total,45-49,female,2011,total,population,102796
total,45-49,female,2011,A Coruña,population,43438
total,45-49,female,2011,Lugo,population,12786
total,45-49,female,2011,Ourense,population,11361
total,45-49,female,2011,Pontevedra,population,35211
total,50-54,total,2001,total,population,168933
total,50-54,total,2001,A Coruña,population,71342
total,50-54,total,2001,Lugo,population,20672
total,50-54,total,2001,Ourense,population,20358
total,50-54,total,2001,Pontevedra,population,56561
total,50-54,total,2011,total,population,196554
total,50-54,total,2011,A Coruña,population,81770
total,50-54,total,2011,Lugo,population,25371
total,50-54,total,2011,Ourense,population,23065
total,50-54,total,2011,Pontevedra,population,66348
total,50-54,male,2001,total,population,83531
total,50-54,male,2001,A Coruña,population,34919
total,50-54,male,2001,Lugo,population,10643
total,50-54,male,2001,Ourense,population,10173
total,50-54,male,2001,Pontevedra,population,27796
total,50-54,male,2011,total,population,97195
total,50-54,male,2011,A Coruña,population,40152
total,50-54,male,2011,Lugo,population,13015
total,50-54,male,2011,Ourense,population,11518
total,50-54,male,2011,Pontevedra,population,32510
total,50-54,female,2001,total,population,85402
total,50-54,female,2001,A Coruña,population,36423
total,50-54,female,2001,Lugo,population,10029
total,50-54,female,2001,Ourense,population,10185
total,50-54,female,2001,Pontevedra,population,28765
total,50-54,female,2011,total,population,99359
total,50-54,female,2011,A Coruña,population,41618
total,50-54,female,2011,Lugo,population,12356
total,50-54,female,2011,Ourense,population,11546
total,50-54,female,2011,Pontevedra,population,33838
total,55-59,total,2001,total,population,163648
total,55-59,total,2001,A Coruña,population,68271
total,55-59,total,2001,Lugo,population,20867
total,55-59,total,2001,Ourense,population,21525
total,55-59,total,2001,Pontevedra,population,52985
total,55-59,total,2011,total,population,176206
total,55-59,total,2011,A Coruña,population,73320
total,55-59,total,2011,Lugo,population,22699
total,55-59,total,2011,Ourense,population,20888
total,55-59,total,2011,Pontevedra,population,59300
total,55-59,male,2001,total,population,79465
total,55-59,male,2001,A Coruña,population,33030
total,55-59,male,2001,Lugo,population,10282
total,55-59,male,2001,Ourense,population,10407
total,55-59,male,2001,Pontevedra,population,25746
total,55-59,male,2011,total,population,86745
total,55-59,male,2011,A Coruña,population,35827
total,55-59,male,2011,Lugo,population,11792
total,55-59,male,2011,Ourense,population,10502
total,55-59,male,2011,Pontevedra,population,28624
total,55-59,female,2001,total,population,84183
total,55-59,female,2001,A Coruña,population,35241
total,55-59,female,2001,Lugo,population,10585
total,55-59,female,2001,Ourense,population,11118
total,55-59,female,2001,Pontevedra,population,27239
total,55-59,female,2011,total,population,89461
total,55-59,female,2011,A Coruña,population,37492
total,55-59,female,2011,Lugo,population,10908
total,55-59,female,2011,Ourense,population,10386
total,55-59,female,2011,Pontevedra,population,30675
total,60-64,total,2001,total,population,135825
total,60-64,total,2001,A Coruña,population,55269
total,60-64,total,2001,Lugo,population,19697
total,60-64,total,2001,Ourense,population,19304
total,60-64,total,2001,Pontevedra,population,41555
total,60-64,total,2011,total,population,168390
total,60-64,total,2011,A Coruña,population,70627
total,60-64,total,2011,Lugo,population,20745
total,60-64,total,2011,Ourense,population,21087
total,60-64,total,2011,Pontevedra,population,55930
total,60-64,male,2001,total,population,63800
total,60-64,male,2001,A Coruña,population,26090
total,60-64,male,2001,Lugo,population,9261
total,60-64,male,2001,Ourense,population,9017
total,60-64,male,2001,Pontevedra,population,19432
total,60-64,male,2011,total,population,81692
total,60-64,male,2011,A Coruña,population,33801
total,60-64,male,2011,Lugo,population,10495
total,60-64,male,2011,Ourense,population,10335
total,60-64,male,2011,Pontevedra,population,27061
total,60-64,female,2001,total,population,72025
total,60-64,female,2001,A Coruña,population,29179
total,60-64,female,2001,Lugo,population,10436
total,60-64,female,2001,Ourense,population,10287
total,60-64,female,2001,Pontevedra,population,22123
total,60-64,female,2011,total,population,86697
total,60-64,female,2011,A Coruña,population,36826
total,60-64,female,2011,Lugo,population,10250
total,60-64,female,2011,Ourense,population,10752
total,60-64,female,2011,Pontevedra,population,28869
total,65-69,total,2001,total,population,169232
total,65-69,total,2001,A Coruña,population,67381
total,65-69,total,2001,Lugo,population,26384
total,65-69,total,2001,Ourense,population,26067
total,65-69,total,2001,Pontevedra,population,49400
total,65-69,total,2011,total,population,160341
total,65-69,total,2011,A Coruña,population,66421
total,65-69,total,2011,Lugo,population,20725
total,65-69,total,2011,Ourense,population,22104
total,65-69,total,2011,Pontevedra,population,51091
total,65-69,male,2001,total,population,77457
total,65-69,male,2001,A Coruña,population,30684
total,65-69,male,2001,Lugo,population,12368
total,65-69,male,2001,Ourense,population,12163
total,65-69,male,2001,Pontevedra,population,22242
total,65-69,male,2011,total,population,75914
total,65-69,male,2011,A Coruña,population,31248
total,65-69,male,2011,Lugo,population,9990
total,65-69,male,2011,Ourense,population,10542
total,65-69,male,2011,Pontevedra,population,24134
total,65-69,female,2001,total,population,91775
total,65-69,female,2001,A Coruña,population,36697
total,65-69,female,2001,Lugo,population,14016
total,65-69,female,2001,Ourense,population,13904
total,65-69,female,2001,Pontevedra,population,27158
total,65-69,female,2011,total,population,84427
total,65-69,female,2011,A Coruña,population,35172
total,65-69,female,2011,Lugo,population,10736
total,65-69,female,2011,Ourense,population,11563
total,65-69,female,2011,Pontevedra,population,26956
total,70-74,total,2001,total,population,143719
total,70-74,total,2001,A Coruña,population,55857
total,70-74,total,2001,Lugo,population,24503
total,70-74,total,2001,Ourense,population,22950
total,70-74,total,2001,Pontevedra,population,40409
total,70-74,total,2011,total,population,126758
total,70-74,total,2011,A Coruña,population,51247
total,70-74,total,2011,Lugo,population,18633
total,70-74,total,2011,Ourense,population,18513
total,70-74,total,2011,Pontevedra,population,38366
total,70-74,male,2001,total,population,63169
total,70-74,male,2001,A Coruña,population,24305
total,70-74,male,2001,Lugo,population,11214
total,70-74,male,2001,Ourense,population,10371
total,70-74,male,2001,Pontevedra,population,17279
total,70-74,male,2011,total,population,57309
total,70-74,male,2011,A Coruña,population,23170
total,70-74,male,2011,Lugo,population,8484
total,70-74,male,2011,Ourense,population,8520
total,70-74,male,2011,Pontevedra,population,17136
total,70-74,female,2001,total,population,80550
total,70-74,female,2001,A Coruña,population,31552
total,70-74,female,2001,Lugo,population,13289
total,70-74,female,2001,Ourense,population,12579
total,70-74,female,2001,Pontevedra,population,23130
total,70-74,female,2011,total,population,69449
total,70-74,female,2011,A Coruña,population,28077
total,70-74,female,2011,Lugo,population,10149
total,70-74,female,2011,Ourense,population,9994
total,70-74,female,2011,Pontevedra,population,21230
total,75-79,total,2001,total,population,112769
total,75-79,total,2001,A Coruña,population,41941
total,75-79,total,2001,Lugo,population,20843
total,75-79,total,2001,Ourense,population,19568
total,75-79,total,2001,Pontevedra,population,30417
total,75-79,total,2011,total,population,144226
total,75-79,total,2011,A Coruña,population,57443
total,75-79,total,2011,Lugo,population,22610
total,75-79,total,2011,Ourense,population,22431
total,75-79,total,2011,Pontevedra,population,41742
total,75-79,male,2001,total,population,45634
total,75-79,male,2001,A Coruña,population,16650
total,75-79,male,2001,Lugo,population,9020
total,75-79,male,2001,Ourense,population,8348
total,75-79,male,2001,Pontevedra,population,11616
total,75-79,male,2011,total,population,61377
total,75-79,male,2011,A Coruña,population,24187
total,75-79,male,2011,Lugo,population,9919
total,75-79,male,2011,Ourense,population,9936
total,75-79,male,2011,Pontevedra,population,17335
total,75-79,female,2001,total,population,67135
total,75-79,female,2001,A Coruña,population,25291
total,75-79,female,2001,Lugo,population,11823
total,75-79,female,2001,Ourense,population,11220
total,75-79,female,2001,Pontevedra,population,18801
total,75-79,female,2011,total,population,82850
total,75-79,female,2011,A Coruña,population,33256
total,75-79,female,2011,Lugo,population,12691
total,75-79,female,2011,Ourense,population,12495
total,75-79,female,2011,Pontevedra,population,24407
total,80-84,total,2001,total,population,76402
total,80-84,total,2001,A Coruña,population,28335
total,80-84,total,2001,Lugo,population,14123
total,80-84,total,2001,Ourense,population,13420
total,80-84,total,2001,Pontevedra,population,20524
total,80-84,total,2011,total,population,105472
total,80-84,total,2011,A Coruña,population,40834
total,80-84,total,2011,Lugo,population,18116
total,80-84,total,2011,Ourense,population,16909
total,80-84,total,2011,Pontevedra,population,29613
total,80-84,male,2001,total,population,27330
total,80-84,male,2001,A Coruña,population,9787
total,80-84,male,2001,Lugo,population,5530
total,80-84,male,2001,Ourense,population,5185
total,80-84,male,2001,Pontevedra,population,6828
total,80-84,male,2011,total,population,41105
total,80-84,male,2011,A Coruña,population,15677
total,80-84,male,2011,Lugo,population,7438
total,80-84,male,2011,Ourense,population,6934
total,80-84,male,2011,Pontevedra,population,11056
total,80-84,female,2001,total,population,49072
total,80-84,female,2001,A Coruña,population,18548
total,80-84,female,2001,Lugo,population,8593
total,80-84,female,2001,Ourense,population,8235
total,80-84,female,2001,Pontevedra,population,13696
total,80-84,female,2011,total,population,64367
total,80-84,female,2011,A Coruña,population,25157
total,80-84,female,2011,Lugo,population,10678
total,80-84,female,2011,Ourense,population,9975
total,80-84,female,2011,Pontevedra,population,18557
total,85-89,total,2001,total,population,43981
total,85-89,total,2001,A Coruña,population,15865
total,85-89,total,2001,Lugo,population,8189
total,85-89,total,2001,Ourense,population,8276
total,85-89,total,2001,Pontevedra,population,11651
total,85-89,total,2011,total,population,62347
total,85-89,total,2011,A Coruña,population,22948
total,85-89,total,2011,Lugo,population,11542
total,85-89,total,2011,Ourense,population,10797
total,85-89,total,2011,Pontevedra,population,17061
total,85-89,male,2001,total,population,13750
total,85-89,male,2001,A Coruña,population,4860
total,85-89,male,2001,Lugo,population,2920
total,85-89,male,2001,Ourense,population,2733
total,85-89,male,2001,Pontevedra,population,3237
total,85-89,male,2011,total,population,21011
total,85-89,male,2011,A Coruña,population,7465
total,85-89,male,2011,Lugo,population,4303
total,85-89,male,2011,Ourense,population,3949
total,85-89,male,2011,Pontevedra,population,5294
total,85-89,female,2001,total,population,30231
total,85-89,female,2001,A Coruña,population,11005
total,85-89,female,2001,Lugo,population,5269
total,85-89,female,2001,Ourense,population,5543
total,85-89,female,2001,Pontevedra,population,8414
total,85-89,female,2011,total,population,41336
total,85-89,female,2011,A Coruña,population,15483
total,85-89,female,2011,Lugo,population,7239
total,85-89,female,2011,Ourense,population,6848
total,85-89,female,2011,Pontevedra,population,11767
total,90-94,total,2001,total,population,15294
total,90-94,total,2001,A Coruña,population,5455
total,90-94,total,2001,Lugo,population,2970
total,90-94,total,2001,Ourense,population,2918
total,90-94,total,2001,Pontevedra,population,3951
total,90-94,total,2011,total,population,25493
total,90-94,total,2011,A Coruña,population,9387
total,90-94,total,2011,Lugo,population,4781
total,90-94,total,2011,Ourense,population,4477
total,90-94,total,2011,Pontevedra,population,6848
total,90-94,male,2001,total,population,4786
total,90-94,male,2001,A Coruña,population,1609
total,90-94,male,2001,Lugo,population,1160
total,90-94,male,2001,Ourense,population,984
total,90-94,male,2001,Pontevedra,population,1033
total,90-94,male,2011,total,population,7191
total,90-94,male,2011,A Coruña,population,2479
total,90-94,male,2011,Lugo,population,1564
total,90-94,male,2011,Ourense,population,1390
total,90-94,male,2011,Pontevedra,population,1758
total,90-94,female,2001,total,population,12325
total,90-94,female,2001,A Coruña,population,4523
total,90-94,female,2001,Lugo,population,2150
total,90-94,female,2001,Ourense,population,2266
total,90-94,female,2001,Pontevedra,population,3386
total,90-94,female,2011,total,population,18302
total,90-94,female,2011,A Coruña,population,6908
total,90-94,female,2011,Lugo,population,3218
total,90-94,female,2011,Ourense,population,3087
total,90-94,female,2011,Pontevedra,population,5089
total,95-99,total,2001,total,population,3718
total,95-99,total,2001,A Coruña,population,1396
total,95-99,total,2001,Lugo,population,693
total,95-99,total,2001,Ourense,population,705
total,95-99,total,2001,Pontevedra,population,924
total,95-99,total,2011,total,population,6715
total,95-99,total,2011,A Coruña,population,2328
total,95-99,total,2011,Lugo,population,1277
total,95-99,total,2011,Ourense,population,1276
total,95-99,total,2011,Pontevedra,population,1833
total,95-99,male,2001,total,population,887
total,95-99,male,2001,A Coruña,population,290
total,95-99,male,2001,Lugo,population,227
total,95-99,male,2001,Ourense,population,183
total,95-99,male,2001,Pontevedra,population,187
total,95-99,male,2011,total,population,1603
total,95-99,male,2011,A Coruña,population,560
total,95-99,male,2011,Lugo,population,372
total,95-99,male,2011,Ourense,population,291
total,95-99,male,2011,Pontevedra,population,380
total,95-99,female,2001,total,population,2831
total,95-99,female,2001,A Coruña,population,1106
total,95-99,female,2001,Lugo,population,466
total,95-99,female,2001,Ourense,population,522
total,95-99,female,2001,Pontevedra,population,737
total,95-99,female,2011,total,population,5111
total,95-99,female,2011,A Coruña,population,1768
total,95-99,female,2011,Lugo,population,905
total,95-99,female,2011,Ourense,population,986
total,95-99,female,2011,Pontevedra,population,1453
total,100+,total,2001,total,population,391
total,100+,total,2001,A Coruña,population,118
total,100+,total,2001,Lugo,population,82
total,100+,total,2001,Ourense,population,75
total,100+,total,2001,Pontevedra,population,116
total,100+,total,2011,total,population,1025
total,100+,total,2011,A Coruña,population,322
total,100+,total,2011,Lugo,population,211
total,100+,total,2011,Ourense,population,199
total,100+,total,2011,Pontevedra,population,293
total,100+,male,2001,total,population,93
total,100+,male,2001,A Coruña,population,20
total,100+,male,2001,Lugo,population,28
total,100+,male,2001,Ourense,population,16
total,100+,male,2001,Pontevedra,population,29
total,100+,male,2011,total,population,213
total,100+,male,2011,A Coruña,population,60
total,100+,male,2011,Lugo,population,64
total,100+,male,2011,Ourense,population,34
total,100+,male,2011,Pontevedra,population,55
total,100+,female,2001,total,population,298
total,100+,female,2001,A Coruña,population,98
total,100+,female,2001,Lugo,population,54
total,100+,female,2001,Ourense,population,59
total,100+,female,2001,Pontevedra,population,87
total,100+,female,2011,total,population,812
total,100+,female,2011,A Coruña,population,262
total,100+,female,2011,Lugo,population,147
total,100+,female,2011,Ourense,population,164
total,100+,female,2011,Pontevedra,population,238
county of residence,total,total,2001,total,population,1695355
county of residence,total,total,2001,A Coruña,population,642736
county of residence,total,total,2001,Lugo,population,239519
county of residence,total,total,2001,Ourense,population,202971
county of residence,total,total,2001,Pontevedra,population,610129
county of residence,total,total,2011,total,population,1579732
county of residence,total,total,2011,A Coruña,population,600831
county of residence,total,total,2011,Lugo,population,212365
county of residence,total,total,2011,Ourense,population,176156
county of residence,total,total,2011,Pontevedra,population,590381
